name,nozzle_variant,inherits_chain,layer_height,first_layer_height,extrusion_width,external_perimeter_extrusion_width,perimeter_extrusion_width,infill_extrusion_width,solid_infill_extrusion_width,top_infill_extrusion_width,first_layer_extrusion_width,perimeter_speed,external_perimeter_speed,infill_speed,solid_infill_speed,top_solid_infill_speed,first_layer_speed,travel_speed,enable_dynamic_overhang_speeds,overhang_speed_0,overhang_speed_1,overhang_speed_2,overhang_speed_3,default_acceleration,perimeter_acceleration,external_perimeter_acceleration,infill_acceleration,solid_infill_acceleration,top_solid_infill_acceleration,first_layer_acceleration,travel_acceleration,bridge_acceleration,perimeters,perimeter_generator
0.32mm SPEED @COREONE 0.6,0.6,0.32mm SPEED @MK4S 0.6 ; *C1_06* ; *C1_SPEED* -> 0.32mm SPEED @MK4IS 0.6 ; *MK4S_06* -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.32,0.2,0.68,0.68,0.68,0.68,0.68,0.55,0.68,70,70,120,70,70,45,350,1,15,20,30,70%,3000,6000,3000,7000,6000,2000,500,7000,1500,2,arachne
0.32mm STRUCTURAL @COREONE 0.6,0.6,0.32mm STRUCTURAL @MK4S 0.6 ; *C1_06* ; *C1_STR* -> 0.32mm STRUCTURAL @MK4IS 0.6 ; *MK4S_06* -> 0.32mm SPEED @MK4IS 0.6 -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.32,0.2,0.68,0.68,0.68,0.68,0.68,0.55,0.68,70,50,70,70,70,45,350,1,15,20,30,80%,3000,2500,1500,6000,4000,2000,500,7000,1500,2,arachne
0.32mm SPEED @COREONE HF0.6,HF0.6,0.32mm SPEED @MK4S HF0.6 ; *C1_HF06* ; *C1_SPEED* -> 0.32mm SPEED @MK4IS HF0.6 ; *MK4S_HF06* -> 0.32mm SPEED @MK4IS 0.6 -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.32,0.2,0.68,0.68,0.68,0.68,0.68,0.55,0.68,160,145,160,140,110,45,350,1,15,20,35,70%,3000,6000,3000,7000,6000,2000,500,7000,1500,2,arachne
0.32mm STRUCTURAL @COREONE HF0.6,HF0.6,0.32mm STRUCTURAL @MK4S HF0.6 ; *C1_HF06* ; *C1_STR* -> 0.32mm STRUCTURAL @MK4IS HF0.6 ; *MK4S_HF06* -> 0.32mm SPEED @MK4IS 0.6 -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.32,0.2,0.68,0.68,0.68,0.68,0.68,0.55,0.68,70,50,120,70,70,45,350,1,15,20,35,50,3000,2500,1500,6000,4000,2000,500,7000,1500,2,arachne
0.32mm BALANCED @COREONE HF0.6,HF0.6,0.32mm STRUCTURAL @COREONE 0.6 ; *C1_HF06* ; *C1_BALANCED* -> 0.32mm STRUCTURAL @MK4S 0.6 ; *C1_06* ; *C1_STR* -> 0.32mm STRUCTURAL @MK4IS 0.6 ; *MK4S_06* -> 0.32mm SPEED @MK4IS 0.6 -> *MK4IS_common06* -> *MK4IS_common* -> *C1* -> *C1*,0.32,0.2,0.68,0.68,0.68,0.68,0.68,0.55,0.68,145,145,120,120,70,45,350,1,15,20,35,70%,3000,3000,2500,5000,5000,2000,500,7000,1500,2,arachne
0.40mm SPEED @COREONE HF0.6,HF0.6,0.40mm SPEED @MK4S HF0.6 ; *C1_HF06* ; *C1_SPEED* -> 0.40mm SPEED @MK4IS HF0.6 ; *MK4S_HF06* -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.4,0.2,0.68,0.68,0.68,0.68,0.68,0.55,0.68,130,120,150,120,80,45,350,1,15,20,35,70%,3000,6000,3000,7000,6000,2000,500,7000,1500,2,arachne
0.40mm STRUCTURAL @COREONE HF0.6,HF0.6,0.40mm STRUCTURAL @MK4S HF0.6 ; *C1_HF06* ; *C1_STR* -> 0.40mm STRUCTURAL @MK4IS HF0.6 ; *MK4S_HF06* -> 0.40mm SPEED @MK4IS HF0.6 -> *MK4IS_common06* -> *MK4IS_common* -> *C1*,0.4,0.2,0.68,0.68,0.68,0.68,0.68,0.55,0.68,70,50,100,100,60,45,350,1,15,20,35,50,3000,2500,1500,6000,4000,2000,500,7000,1500,2,arachne
0.30mm DETAIL @COREONE 0.8,0.8,0.30mm DETAIL @MK4S 0.8 ; *C1_08* -> 0.30mm DETAIL @MK4IS 0.8 ; *MK4S_08* -> *MK4IS_common08* -> *MK4IS_common* -> *C1*,0.30,0.2,0.9,0.9,0.9,0.9,0.9,0.7,1,85,45,100,50,45,45,350,1,15,20,35,80%,3000,2500,2000,6000,4000,2000,500,7000,1000,2,arachne
0.30mm SPEED @COREONE HF0.8,HF0.8,0.30mm SPEED @MK4S HF0.8 ; *C1_HF08* -> 0.30mm SPEED @MK4IS HF0.8 ; *MK4S_HF08* -> 0.30mm DETAIL @MK4IS 0.8 -> *MK4IS_common08* -> *MK4IS_common* -> *C1*,0.30,0.2,0.9,0.9,0.9,0.9,0.9,0.7,1,150,125,180,125,80,45,350,1,15,20,45,60%,3000,3000,2500,7000,5000,2000,500,7000,1000,2,arachne
0.30mm STRUCTURAL @COREONE HF0.8,HF0.8,0.30mm STRUCTURAL @MK4S HF0.8 ; *C1_HF08* ; *C1_STR* -> 0.30mm STRUCTURAL @MK4IS HF0.8 ; *MK4S_HF08* -> 0.30mm DETAIL @MK4IS 0.8 -> *MK4IS_common08* -> *MK4IS_common* -> *C1*,0.30,0.2,0.9,0.9,0.9,0.9,0.9,0.7,1,70,50,120,120,60,45,350,1,15,20,40,80%,3000,2500,1500,6000,4000,2000,500,7000,1000,2,arachne
0.40mm QUALITY @COREONE 0.8,0.8,0.40mm QUALITY @MK4S 0.8 ; *C1_08* -> 0.40mm QUALITY @MK4IS 0.8 ; *MK4S_08* -> *MK4IS_common08* -> *MK4IS_common* -> *C1*,0.4,0.2,0.9,0.9,0.9,0.9,0.9,0.75,1,50,45,90,45,35,45,350,1,15,20,35,80%,3000,2500,1500,7000,4000,2000,500,7000,1000,2,arachne
0.40mm SPEED @COREONE HF0.8,HF0.8,0.40mm SPEED @MK4S HF0.8 ; *C1_HF08* -> 0.40mm SPEED @MK4IS HF0.8 ; *MK4S_HF08* -> 0.40mm QUALITY @MK4IS 0.8 -> *MK4IS_common08* -> *MK4IS_common* -> *C1*,0.4,0.2,0.9,0.9,0.9,0.9,0.9,0.75,1,120,85,130,100,75,45,350,1,15,20,45,80%,3000,3000,2500,7000,5000,2000,500,7000,1000,2,arachne
0.40mm STRUCTURAL @COREONE HF0.8,HF0.8,0.40mm STRUCTURAL @MK4S HF0.8 ; *C1_HF08* ; *C1_STR* -> 0.40mm STRUCTURAL @MK4IS HF0.8 ; *MK4S_HF08* -> 0.40mm QUALITY @MK4IS 0.8 -> *MK4IS_common08* -> *MK4IS_common* -> *C1*,0.4,0.2,0.9,0.9,0.9,0.9,0.9,0.75,1,70,50,100,100,65,45,350,1,15,20,40,80%,3000,2500,1500,6000,4000,2000,500,7000,1000,2,arachne
0.55mm DRAFT @COREONE 0.8,0.8,0.55mm DRAFT @MK4S 0.8 ; *C1_08* -> 0.55mm DRAFT @MK4IS 0.8 ; *MK4S_08* -> *MK4IS_common08* -> *MK4IS_common* -> *C1*,0.55,0.2,0.9,1,1,0.9,0.9,0.75,1,45,35,60,35,30,45,350,1,15,20,25,80%,3000,2500,1500,7000,4000,2000,500,7000,1000,2,arachne
0.55mm SPEED @COREONE HF0.8,HF0.8,0.55mm SPEED @MK4S HF0.8 ; *C1_HF08* -> 0.55mm SPEED @MK4IS HF0.8 ; *MK4S_HF08* -> 0.55mm DRAFT @MK4IS 0.8 -> *MK4IS_common08* -> *MK4IS_common* -> *C1*,0.55,0.2,0.9,1,1,0.9,0.9,0.75,1,100,70,100,70,60,45,350,1,15,20,45,80%,3000,3000,2500,7000,5000,2000,500,7000,1000,2,arachne
0.55mm STRUCTURAL @COREONE HF0.8,HF0.8,0.55mm STRUCTURAL @MK4S HF0.8 ; *C1_HF08* ; *C1_STR* -> 0.55mm STRUCTURAL @MK4IS HF0.8 ; *MK4S_HF08* -> 0.55mm DRAFT @MK4IS 0.8 -> *MK4IS_common08* -> *MK4IS_common* -> *C1*,0.55,0.2,0.9,1,1,0.9,0.9,0.75,1,70,50,75,65,45,45,350,1,15,20,40,80%,3000,2500,1500,6000,4000,2000,500,7000,1000,2,arachne
